Star_ID,ID,Label,X,Y,Z,Luminosity,colorb_v,absmag,appmag,texnum,Distance (light-years),dcalc,plx,plxerr,vx,vy,vz,speed,hipnum,created_at,updated_at,constellation_id,constellation_name,constellation_galaxy
54385,54385,HIP677 HD358 Gli Alp And  Alpheratz,-9.2585,23.2275,-16.141,102.16956,-0.005,-0.3,2.07,1,97.02,1,33.6,2.17,-9.351,-17.539,-19.974,28.178,677,49:15.4,49:15.4,1,North Arm,And
56255,56255,HIP2868 HD3321 Gli,-69.3824,123.4199,-78.8781,8.65824,0.095,2.38,8.43,1,528.36,1,6.17,17.5,0,0,0,0,2868,49:32.9,49:32.9,1,North Arm,And
57609,57609,HIP4436 HD5448 Gli Mu And,-21.3276,31.5326,-17.237,38.73598,0.144,0.75,3.86,1,136.23,1,23.93,5.1,-29.533,-11.297,4.888,31.995,4436,49:44.8,49:44.8,1,North Arm,And
60355,60355,HIP7607 HD9927 Gli 51And,-33.8738,39.2233,-12.4704,80.82289,1.038,-0.04,3.59,1,173.77,1,18.76,3.94,-29.304,2.589,-29.565,41.708,7607,50:13.4,50:13.4,1,North Arm,And
54385,54385,HIP677 HD358 Gli Alp And  Alpheratz,-9.2585,23.2275,-16.141,102.16956,-0.005,-0.3,2.07,1,97.02,1,33.6,2.17,-9.351,-17.539,-19.974,28.178,677,49:15.4,49:15.4,2,South Arm,And
56454,56454,HIP3092 HD3627 Gli Del And,-13.1293,22.8608,-16.434,36.86023,1.038,0.81,3.27,1,101.27,1,32.19,2.11,-10.342,-15.62,-8.701,20.656,3092,49:34.5,49:34.5,2,South Arm,And
58491,58491,HIP5447 HD6860 Gli Bet And  Mirach,-32.8276,43.3946,-27.8475,430.95648,1.416,-1.86,2.07,1,199.27,1,16.36,4.65,-44.606,-30.915,-29.621,61.83,5447,49:53.3,49:53.3,2,South Arm,And
62105,62105,HIP9640 HD12533 Gli Gam1 And  Almach,-75.3993,70.3985,-34.6332,1328.52295,-0.03,-3.08,2.1,1,354.73,1,9.19,7.94,-25.088,-16.112,-20.223,36.028,9640,50:30.0,50:30.0,2,South Arm,And
93490,93490,HIP46515 HD82150 Gli Eps Ant,-24.263,-209.2775,40.7934,561.34277,1.038,-2.15,4.51,1,699.57,1,4.66,12.23,-22.549,-20.323,-12.196,32.714,46515,55:47.9,55:47.9,3,Antlia,Ant
94562,94562,HIP47758 HD84367 Gli The Ant,-19.5405,-109.601,38.4611,131.88171,0.192,-0.58,4.78,1,383.98,1,8.49,8.6,-30.957,-4.534,-10.015,32.851,47758,55:57.7,55:57.7,3,Antlia,Ant
97538,97538,HIP51172 HD90610 Gli Alp Ant,-0.2233,-103.8908,42.794,190.20413,1.086,-0.97,4.28,1,366.29,1,8.9,7.64,-37.589,-15.879,-17.977,44.589,51172,56:25.1,56:25.1,3,Antlia,Ant
99513,99513,HIP53502 HD94890 Gli Iot Ant,8.8025,-56.5019,21.1679,41.71693,0.902,0.67,4.6,1,198.78,1,16.4,3.96,31.833,-27.704,7.157,42.803,53502,56:43.8,56:43.8,3,Antlia,Ant
115499,115499,HIP72370 HD129078 Gli Alp Aps,74.8756,-94.1569,-37.8178,362.62161,1.137,-1.67,3.83,1,411.1,1,7.93,6.68,3.027,-9.439,-2.124,10.138,72370,59:11.3,59:11.3,4,Apus,Aps
122058,122058,HIP80057 HD145388 Gli Del2 Aps,128.9902,-141.0549,-69.1118,250.07472,1.038,-1.27,5.27,1,662.6,1,4.92,11.99,10.012,-15.908,-7.504,20.239,80057,00:11.7,00:11.7,4,Apus,Aps
122950,122950,HIP81065 HD147675 Gli Gam Aps,31.0677,-33.6819,-17.1421,53.09312,0.902,0.41,3.86,1,159.49,1,20.44,2.59,5.771,-35.653,12.475,38.211,81065,00:19.6,00:19.6,4,Apus,Aps
123606,123606,HIP81852 HD149324 Gli Bet Aps,31.637,-32.562,-16.5786,36.85352,0.902,0.81,4.23,1,157.56,1,20.69,2.46,11.722,-79.196,27.168,84.543,81852,00:25.7,00:25.7,4,Apus,Aps
140976,140976,HIP102618 HD198001 Gli Eps Aqr  Al Bali,48.1826,37.2137,-35.2977,118.25292,0.046,-0.46,3.78,1,229.42,1,14.21,6.33,-8.772,-9.608,-7.816,15.177,102618,03:19.3,03:19.3,5,Main Branch,Aqr
144117,144117,HIP106278 HD204867 Gli Bet Aqr  Sadan Suud,99.0467,110.0904,-115.1958,1890.3645,0.54,-3.47,2.9,1,611.63,1,5.33,17.64,-7.453,2.068,-22.61,23.896,106278,03:52.8,03:52.8,5,Main Branch,Aqr
146506,146506,HIP109074 HD209750 Gli Alp Aqr  Sadal Melik,86.509,149.4078,-155.8102,2773.72241,0.603,-3.88,2.95,1,758.14,1,4.3,19.3,-6.441,0.918,-25.84,26.647,109074,04:18.5,04:18.5,5,Main Branch,Aqr
147664,147664,HIP110395 HD212061 Gli Gam Aqr  Sadachbia,15.7295,29.8074,-34.7082,51.91814,0.021,0.44,3.86,1,157.72,1,20.67,8.27,-31.434,-16.235,-2.585,35.473,110395,04:30.6,04:30.6,5,Main Branch,Aqr
148150,148150,HIP110960 HD213051 Gli,9.1325,19.9046,-22.9412,27.07397,0.342,1.14,3.65,1,103.39,1,31.53,4.76,-20.359,9.522,-28.284,36.127,110960,04:35.3,04:35.3,5,Main Branch,Aqr
148589,148589,HIP111497 HD213998 Gli Eta Aqr,14.9196,34.8813,-41.5636,59.51482,-0.005,0.29,4.04,1,183.46,1,17.77,4.61,-13.553,-10.574,-20.791,26.977,111497,04:39.6,04:39.6,5,Main Branch,Aqr
151324,151324,HIP114724 HD219215 Gli Phi Aqr,11.5439,33.4131,-58.229,73.88358,1.542,0.05,4.22,1,222.07,1,14.68,6.27,15.15,-16.419,-62.43,66.307,114724,05:06.4,05:06.4,5,Main Branch,Aqr
149811,149811,HIP112961 HD216386 Gli Lam Aqr,31.534,59.7878,-99.2097,360.33795,1.542,-1.67,3.73,1,391.36,1,8.33,13.57,-21.536,-4.642,18.824,28.977,112961,04:51.3,04:51.3,5,Main Branch,Aqr
149611,149611,HIP112716 HD216032 Gli Tau2 Aqr,37.2498,48.1333,-99.396,252.94455,1.137,-1.28,4.05,1,379.95,1,8.58,11.42,17.603,-2.243,-16.009,23.899,112716,04:49.5,04:49.5,5,Main Branch,Aqr
149954,149954,HIP113136 HD216627 Gli Del Aqr  Skat,15.5396,18.2454,-42.6515,91.41937,0.095,-0.18,3.27,1,159.49,1,20.44,11.06,17.728,8.495,-16.407,25.605,113136,04:52.9,04:52.9,5,Main Branch,Aqr
150989,150989,HIP114341 HD218594 Gli 88Aqr,21.7069,19.381,-65.4562,134.34737,0.946,-0.6,3.68,1,233.52,1,13.96,6.73,-15.38,2.69,-18.345,24.09,114341,05:03.1,05:03.1,5,Main Branch,Aqr
